Store ID,Store name,Country name,Country short name,Year,actual_turnover,predicted_turnover,residual,pct_diff,abs_pct_diff,performance_flag
2799,Store 1132,Deutschland,DE,2023,344756.65094999905,345218.5387923638,-461.88784236472566,-0.0013379578164616883,0.0013379578164616883,In line
2800,Store 1133,Deutschland,DE,2023,380365.26344999817,380748.9729169212,-383.70946692302823,-0.0010077754484363456,0.0010077754484363456,In line
2801,Store 1134,Deutschland,DE,2023,418971.6940499973,421066.2282520148,-2094.534202017472,-0.0049743580973296685,0.0049743580973296685,In line
2804,Store 1136,Deutschland,DE,2023,487304.4361499955,486725.1587687622,579.2773812332889,0.001190152945244602,0.001190152945244602,In line
2808,Store 1138,Deutschland,DE,2023,736590.3722999891,734979.0971162481,1611.2751837410033,0.0021922734810594967,0.0021922734810594967,In line
2809,Store 1139,Deutschland,DE,2023,325797.21989999904,325562.986351788,234.23354821105022,0.0007194722927069741,0.0007194722927069741,In line
2810,Store 1140,Deutschland,DE,2023,450844.16939999635,450189.34442837036,654.8249716259888,0.001454554577380003,0.001454554577380003,In line
2812,Store 1141,Deutschland,DE,2023,805494.4316999883,804992.6899956302,501.7417043581372,0.0006232872802371173,0.0006232872802371173,In line
2813,Store 1142,Deutschland,DE,2023,380518.3777499982,380716.097862477,-197.7201124788262,-0.0005193374107081939,0.0005193374107081939,In line
2814,Store 1143,Deutschland,DE,2023,379901.18204999814,379733.0740425,168.1080074981437,0.00044270046248151915,0.00044270046248151915,In line
2816,Store 1145,Deutschland,DE,2023,549152.9905499946,547957.9392299845,1195.0513200100977,0.0021809179764589928,0.0021809179764589928,In line
2819,Store 1146,Deutschland,DE,2023,453772.7203499963,451547.013854761,2225.7064952352666,0.0049290692374087085,0.0049290692374087085,In line
2859,Store 1147,Deutschland,DE,2023,359980.0420499982,360659.58709330676,-679.5450433085789,-0.0018841729642771782,0.0018841729642771782,In line
2865,Store 1148,Deutschland,DE,2023,528931.7819999945,528343.5145508766,588.2674491179641,0.0011134185107165109,0.0011134185107165109,In line
2866,Store 1149,Deutschland,DE,2023,573908.0201999936,573489.0171302499,419.0030697437469,0.0007306209137891539,0.0007306209137891539,In line
2867,Store 1150,Deutschland,DE,2023,532989.3230999946,531653.0066663417,1336.3164336528862,0.002513512416739779,0.002513512416739779,In line
2868,Store 1151,Deutschland,DE,2023,483327.1579499955,484048.6286037255,-721.4706537300372,-0.0014904920933484994,0.0014904920933484994,In line
2869,Store 1152,Deutschland,DE,2023,281788.8263999991,284217.04801318696,-2428.2216131878668,-0.008543546666754498,0.008543546666754498,In line
287,Store 1153,Deutschland,DE,2023,607340.9686499927,607195.3896690395,145.5789809531998,0.0002397564003780557,0.0002397564003780557,In line
2871,Store 1155,Deutschland,DE,2023,385229.32154999825,387244.80270877987,-2015.481158781622,-0.005204669358202663,0.005204669358202663,In line
2873,Store 1156,Deutschland,DE,2023,441640.2770999973,442866.1378896136,-1225.860789616243,-0.002768016528556072,0.002768016528556072,In line
2874,Store 1157,Deutschland,DE,2023,527187.2606999946,526176.9912815066,1010.2694184880238,0.0019200182357413762,0.0019200182357413762,In line
2877,Store 1159,Deutschland,DE,2023,492212.5501499955,491396.20653092297,816.3436190725188,0.0016612737506372004,0.0016612737506372004,In line
2878,Store 1160,Deutschland,DE,2023,506352.72014999454,506594.2252472411,-241.50509724655421,-0.00047672295737024776,0.00047672295737024776,In line
2879,Store 1161,Deutschland,DE,2023,521072.6395499954,519688.5506357888,1384.0889142066007,0.002663304612951933,0.002663304612951933,In line
2881,Store 1164,Deutschland,DE,2023,604817.1584999936,604869.0388166929,-51.88031669927295,-8.577115601877486e-05,8.577115601877486e-05,In line
2884,Store 1166,Deutschland,DE,2023,411461.05004999734,411894.4343858633,-433.3843358659651,-0.0010521733232743077,0.0010521733232743077,In line
2885,Store 1167,Deutschland,DE,2023,424251.88964999723,422272.2950865078,1979.5945634894306,0.0046879574779678254,0.0046879574779678254,In line
2888,Store 1169,Deutschland,DE,2023,587125.5799499928,584391.7210347006,2733.8589152921923,0.004678127387656572,0.004678127387656572,In line
2889,Store 1170,Deutschland,DE,2023,371373.7288499982,372958.84747232764,-1585.1186223294353,-0.004250116690011077,0.004250116690011077,In line
2890,Store 1171,Deutschland,DE,2023,315582.89714999904,316276.3710389991,-693.4738890000735,-0.002192619975757099,0.002192619975757099,In line
2892,Store 1172,Deutschland,DE,2023,428685.4246499973,429984.1878041871,-1298.7631541898008,-0.0030204904994814642,0.0030204904994814642,In line
2893,Store 1173,Deutschland,DE,2023,523339.10054999456,524501.5398335652,-1162.4392835706822,-0.0022162743010050025,0.0022162743010050025,In line
2894,Store 1174,Deutschland,DE,2023,476627.00399999635,479685.2938827452,-3058.2898827488534,-0.006375617351105254,0.006375617351105254,In line
2896,Store 1176,Deutschland,DE,2023,319057.9672499991,319242.68476029974,-184.71751030063024,-0.0005786115676834493,0.0005786115676834493,In line
2897,Store 1177,Deutschland,DE,2023,333627.3845999991,334248.89502090355,-621.5104209044366,-0.0018594240105582638,0.0018594240105582638,In line
292,Store 1178,Deutschland,DE,2023,244781.95544999998,243731.84930356822,1050.1061464317609,0.0043084486062543795,0.0043084486062543795,In line
